Entity,Code,Year,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Retail,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Out-of-home consumption,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Households
Malawi,MWI,2019,15.44,27.3,101.4
Malawi,MWI,2022,9.68,31.14,92.02
Malaysia,MYS,2019,76.76,87.23,89.06
Malaysia,MYS,2022,78.82,49.53,81.17
Maldives,MDV,2019,16.46,29.1,74.7
Maldives,MDV,2022,20.89,33.59,205.96
Mali,MLI,2019,14.95,26.43,98.15
Mali,MLI,2022,9.68,31.13,91.98
Malta,MLT,2019,11.2,22.36,112.8
Malta,MLT,2020,7.59,44.66,91.65
Malta,MLT,2022,7.95,44.72,91.43
Marshall Islands,MHL,2019,20.56,36.35,99.53
Marshall Islands,MHL,2022,20.25,29.54,60.78
Martinique,MTQ,2022,14.5,22.97,95.23
Mauritania,MRT,2019,16.15,28.54,102.81
Mauritania,MRT,2022,9.69,31.16,89.2
Mauritius,MUS,2019,12.55,25.05,91.51
Mauritius,MUS,2022,15.37,30.93,90.35
Mayotte,MYT,2022,14.57,23.09,93.64
Mexico,MEX,2019,87.94,28.2,95.77
Mexico,MEX,2022,45.48,64.39,104.85
Mexico,MEX,2018,,88.7,88.7
Micronesia (country),FSM,2019,15.98,28.25,92.99
Micronesia (country),FSM,2022,9.32,30,36.83
Moldova,MDA,2019,20.34,35.95,98.86
Moldova,MDA,2022,13.57,17.2,70.6
Monaco,MCO,2019,13.49,26.93,75.48
Monaco,MCO,2022,13.44,20.59,88.72
Mongolia,MNG,2019,15.61,27.59,77.39
Mongolia,MNG,2022,12.01,30,17.76
Montenegro,MNE,2019,15.58,27.54,82.47
Montenegro,MNE,2022,14.78,24.65,86.19
Montserrat,MSR,2022,0,0,0
Morocco,MAR,2019,15.71,27.78,91.44
Morocco,MAR,2022,9.68,31.14,112.65
Mozambique,MOZ,2019,15.68,27.72,102.97
Mozambique,MOZ,2022,9.68,31.14,92
Myanmar,MMR,2019,15.94,28.17,87.97
Myanmar,MMR,2022,44.25,40.33,77.93
Namibia,NAM,2019,15.95,28.19,93.74
Namibia,NAM,2022,15.38,30.95,90.42
Nauru,NRU,2019,11.4,22.76,70.05
Nauru,NRU,2022,10.38,16.25,47.24
Nepal,NPL,2019,15.52,27.43,78.02
Nepal,NPL,2022,9.68,32.49,92.7
Netherlands,NLD,2019,10.83,25.18,49.23
Netherlands,NLD,2020,12.03,4.76,58.72
Netherlands,NLD,2021,11.99,4.74,48.43
Netherlands,NLD,2022,12,5,58.99
New Caledonia,NCL,2019,12.7,25.34,77.98
New Caledonia,NCL,2022,13.15,20.59,86.96
New Zealand,NZL,2019,3.01,24.66,58.84
New Zealand,NZL,2022,3.12,39.45,61.06
Nicaragua,NIC,2019,15.36,27.16,78.66
Nicaragua,NIC,2022,13.33,47.78,90.17
Niger,NER,2019,15.55,27.49,102.11
Niger,NER,2022,9.68,31.14,92.01
Nigeria,NGA,2019,15.46,27.33,186.62
Nigeria,NGA,2022,9.68,31.14,113.44
Niue,NIU,2022,0,0,0
North Korea,PRK,2019,15.59,27.55,80.39
North Korea,PRK,2022,12,29.98,80.74
North Macedonia,MKD,2019,15.41,27.25,81.58
North Macedonia,MKD,2022,14.69,24.5,85.65
Northern Africa (UN),,2019,15.6,27,91.47
Northern Africa (UN),,2022,9.99,31.11,136.76
Northern Africa and Western Asia (UN),,2019,16.34,26.7,96.72
Northern Africa and Western Asia (UN),,2022,20.06,29.67,124.68
Northern America (UN),,2019,15.36,58.86,60.85
Northern America (UN),,2022,13.69,74.32,73.62
Northern Mariana Islands,MNP,2019,14.7,29.34,90.28
Northern Mariana Islands,MNP,2022,13.27,20.77,60.39
Norway,NOR,2019,13.85,4.99,79.25
Norway,NOR,2020,11.39,18.13,78.05
Norway,NOR,2021,12.81,17.5,75.39
Norway,NOR,2022,10.99,17.99,77.94
Oceania (UN),,2019,10.45,23.15,93.21
Oceania (UN),,2022,15.79,47.62,90.06
Oman,OMN,2019,13.85,27.64,102.18
Oman,OMN,2022,27.54,24.37,98.64
Pakistan,PAK,2019,15.17,26.82,71.42
Pakistan,PAK,2022,9.68,32.48,130.41
Palau,PLW,2019,12.87,25.69,79.06
Palau,PLW,2022,23.31,34.01,69.96
Palestine,PSE,2019,15.87,28.05,102.16
Palestine,PSE,2022,31.46,29.4,101.88
Panama,PAN,2019,12.85,25.65,74.16
Panama,PAN,2022,15.06,42.5,101.02
Papua New Guinea,PNG,2019,14.38,25.43,83.71
Papua New Guinea,PNG,2022,9.68,31.13,89.05
Paraguay,PRY,2019,16.87,29.83,78.14
Paraguay,PRY,2022,19,47.54,91.33
Peru,PER,2019,15.49,27.38,71.74
Peru,PER,2022,19.01,47.55,87.63
Philippines,PHL,2019,15.32,27.08,84.57
Philippines,PHL,2022,44.25,40.33,25.57
Poland,POL,2019,12.61,25.17,55.06
Poland,POL,2020,8.34,4.95,59.23
Poland,POL,2021,9.02,4.87,60.06
Poland,POL,2022,8,5,60
Portugal,PRT,2019,12.73,25.41,83.75
Portugal,PRT,2020,20.8,15.67,123.67
Portugal,PRT,2021,21.85,15.83,124.92
Portugal,PRT,2022,21,23,123.99
Puerto Rico,PRI,2019,11.41,22.78,65.85
Puerto Rico,PRI,2022,15.05,42.46,87.96
Qatar,QAT,2019,12.92,25.8,95.37
Qatar,QAT,2022,27.57,24.39,93.07
Reunion,REU,2022,14.34,22.72,92.15
Romania,ROU,2019,12.71,25.36,69.3
Romania,ROU,2022,9.63,12.16,67.35
Russia,RUS,2019,13.73,27.67,33.41
Russia,RUS,2022,13.72,8.43,33.37
Rwanda,RWA,2019,15.39,27.2,161.7
Rwanda,RWA,2022,9.68,31.14,140.65
Saint Barthlemy,,2022,13.13,20.81,86.24
Saint Helena,SHN,2022,26.79,42.46,172.19
Saint Kitts and Nevis,KNA,2019,14.18,28.3,81.8
Saint Kitts and Nevis,KNA,2022,15.8,44.58,92.35
Saint Lucia,LCA,2019,16.01,28.3,74.14
Saint Lucia,LCA,2022,19.02,47.58,91.41
Saint Martin (French part),MAF,2019,14.7,29.34,84.81
Saint Martin (French part),MAF,2022,14.21,40.1,83.06
Saint Pierre and Miquelon,SPM,2022,24.56,38.93,129.31
Saint Vincent and the Grenadines,VCT,2019,16.49,29.14,76.35
Saint Vincent and the Grenadines,VCT,2022,18.28,45.74,87.87
Samoa,WSM,2019,14.55,25.72,70.42
Samoa,WSM,2022,9.57,30.8,84.8
San Marino,SMR,2019,12.71,25.36,83.59
San Marino,SMR,2022,9.6,17.36,73.51
Sao Tome and Principe,STP,2019,15.68,27.71,99.82
Sao Tome and Principe,STP,2022,9.79,31.5,90.15
Saudi Arabia,SAU,2019,18.8,24.46,100.32
Saudi Arabia,SAU,2022,19.65,24.35,104.88
Senegal,SEN,2019,15.93,28.16,101.43
Senegal,SEN,2022,9.68,31.14,76.72
Serbia,SRB,2019,18.54,7.11,98.12
Serbia,SRB,2022,3.11,11.62,108.08
Seychelles,SYC,2019,11.99,23.94,87.46
Seychelles,SYC,2022,11.72,26.56,187.54
Sierra Leone,SLE,2019,15.19,26.85,99.71
Sierra Leone,SLE,2022,9.68,31.15,92.04
Singapore,SGP,2019,12.68,25.3,79.33
Singapore,SGP,2022,46.02,35.08,68.47
Sint Maarten (Dutch part),SXM,2019,12.64,25.23,72.92
Sint Maarten (Dutch part),SXM,2022,13.64,38.47,79.7
Slovakia,SVK,2019,12.82,25.58,69.91
Slovakia,SVK,2020,2.9,1.3,65.36
Slovakia,SVK,2021,3.24,1.65,66.47
Slovakia,SVK,2022,3,1,64.96
Slovenia,SVN,2019,6.58,19.76,33.65
Slovenia,SVN,2020,7.22,20.15,35.31
Slovenia,SVN,2021,6.83,18.84,35.56
Slovenia,SVN,2022,7,20,36
Small Island Developing States (SIDS),,2019,14.48,25.74,76.65
Small Island Developing States (SIDS),,2022,17.68,39.9,95.51
Solomon Islands,SLB,2019,15.52,27.44,90.32
Solomon Islands,SLB,2022,9.62,30.95,43.14
Somalia,SOM,2019,15.11,26.72,99.23
Somalia,SOM,2022,9.68,31.14,92.01
South Africa,ZAF,2019,15.77,27.87,40.1
South Africa,ZAF,2022,15.36,30.92,47.08
South Korea,KOR,2019,12.67,25.28,70.61
